startest,,诱饵,手动触发,,2015-06-10,--&--&--&--&--&--,--&--&--&--,0.0,0.0,3.3,0.0,--&--,--
0,1,1,1,1,1,1,0,0,0,0,0,0,4
True,False,False,False,False,False,False,False,False,False,False,True,True,True
-3.2635,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.48348999023,4.5068359375,4.48211669922,4.49699401855,0.0,0.0,0
-3.263,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46983337402,4.49546813965,4.46975708008,4.4841003418,0.0,0.0,0.0
-3.2625,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.45907592773,4.48211669922,4.45869445801,4.47120666504,0.0,0.0,0.0
-3.262,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.44725036621,4.47036743164,4.44564819336,4.46014404297,0.0,0.0,0.0
-3.2615,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.43412780762,4.45991516113,4.43580627441,4.45098876953,0.0,0.0,0.0
-3.261,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46350097656,4.49348449707,4.47692871094,4.49668884277,0.0,0.0,0.0
-3.2605,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.58930969238,4.62181091309,4.60494995117,4.62799072266,0.0,0.0,0.0
-3.26,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.65003967285,4.6768951416,4.6509552002,4.66728210449,0.0,0.0,0.0
-3.2595,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.63928222656,4.66369628906,4.63874816895,4.65156555176,0.0,0.0,0.0
-3.259,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.62524414062,4.6492767334,4.62348937988,4.63836669922,0.0,0.0,0.0
-3.2585,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.60998535156,4.63623046875,4.60914611816,4.62425231934,0.0,0.0,0.0
-3.258,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.59671020508,4.62142944336,4.59716796875,4.60983276367,0.0,0.0,0.0
-3.2575,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.58457946777,4.60838317871,4.58312988281,4.59754943848,0.0,0.0,0.0
-3.257,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.57015991211,4.59632873535,4.56970214844,4.58465576172,0.0,0.0,0.0
-3.2565,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.55772399902,4.58251953125,4.5580291748,4.57107543945,0.0,0.0,0.0
-3.256,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.54635620117,4.56954956055,4.54460144043,4.55856323242,0.0,0.0,0.0
-3.2555,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.53216552734,4.55795288086,4.53132629395,4.54643249512,0.0,0.0,0.0
-3.255,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.51995849609,4.54483032227,4.52003479004,4.53330993652,0.0,0.0,0.0
-3.2545,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.50897216797,4.53155517578,4.50759887695,4.52102661133,0.0,0.0,0.0
-3.254,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.49523925781,4.52011108398,4.49432373047,4.50942993164,0.0,0.0,0.0
-3.2535,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.48295593262,4.50775146484,4.48249816895,4.49607849121,0.0,0.0,0.0
-3.253,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.47204589844,4.4945526123,4.47074890137,4.48425292969,0.0,0.0,0.0
-3.2525,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.45892333984,4.48341369629,4.45762634277,4.47280883789,0.0,0.0,0.0
-3.252,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.44625854492,4.47105407715,4.44610595703,4.4596862793,0.0,0.0,0.0
-3.2515,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.43603515625,4.45861816406,4.43603515625,4.45037841797,0.0,0.0,0.0
-3.251,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46044921875,4.49180603027,4.47250366211,4.49462890625,0.0,0.0,0.0
-3.2505,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.58427429199,4.61837768555,4.60189819336,4.62371826172,0.0,0.0,0.0
-3.25,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.65293884277,4.67643737793,4.65194702148,4.66728210449,0.0,0.0,0.0
-3.2495,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.64019775391,4.66575622559,4.63859558105,4.65400695801,0.0,0.0,0.0
-3.249,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.62524414062,4.65065002441,4.62455749512,4.63851928711,0.0,0.0,0.0
-3.2485,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.6125793457,4.63592529297,4.61128234863,4.62478637695,0.0,0.0,0.0
-3.248,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.5979309082,4.62348937988,4.59663391113,4.61212158203,0.0,0.0,0.0
-3.2475,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.58435058594,4.60975646973,4.5841217041,4.5979309082,0.0,0.0,0.0
-3.247,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.5728302002,4.59579467773,4.57168579102,4.58511352539,0.0,0.0,0.0
-3.2465,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.55894470215,4.58404541016,4.55764770508,4.57290649414,0.0,0.0,0.0
-3.246,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.54559326172,4.57099914551,4.54551696777,4.55924987793,0.0,0.0,0.0
-3.2455,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.53475952148,4.55741882324,4.53338623047,4.54681396484,0.0,0.0,0.0
