startest,,诱饵,手动触发,,2015-06-10,--&--&--&--&--&--,--&--&--&--,-1.3,0.4,1.0,4.8,--&--,--
0,1,1,1,1,1,1,0,0,0,0,0,0,4
True,False,False,False,False,False,False,False,False,False,False,True,True,True
-1.0035,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.55078125,4.57481384277,4.54925537109,4.5645904541,0.0,0.0,0
-1.003,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.53689575195,4.56283569336,4.53674316406,4.55123901367,0.0,0.0,0.0
-1.0025,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.52499389648,4.54978942871,4.52514648438,4.53811645508,0.0,0.0,0.0
-1.002,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.51385498047,4.53651428223,4.51271057129,4.52583312988,0.0,0.0,0.0
-1.0015,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.50119018555,4.52445983887,4.49996948242,4.51416015625,0.0,0.0,0.0
-1.001,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.48776245117,4.51293945312,4.48692321777,4.50187683105,0.0,0.0,0.0
-1.0005,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.47540283203,4.5002746582,4.47525024414,4.48890686035,0.0,0.0,0.0
-1.0,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46403503418,4.48753356934,4.46380615234,4.47631835938,0.0,0.0,0.0
-0.9995,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.45259094238,4.47532653809,4.4514465332,4.46472167969,0.0,0.0,0.0
-0.999,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.43962097168,4.46411132812,4.43870544434,4.45343017578,0.0,0.0,0.0
-0.9985,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.43908691406,4.46640014648,4.44458007812,4.46266174316,0.0,0.0,0.0
-0.998,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.53704833984,4.57008361816,4.55513000488,4.5775604248,0.0,0.0,0.0
-0.9975,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.64775085449,4.67483520508,4.65194702148,4.66796875,0.0,0.0,0.0
-0.997,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.64279174805,4.66857910156,4.64195251465,4.65751647949,0.0,0.0,0.0
-0.9965,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.62776184082,4.65377807617,4.62745666504,4.64202880859,0.0,0.0,0.0
-0.996,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.61433410645,4.63897705078,4.61418151855,4.62738037109,0.0,0.0,0.0
-0.9955,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.60166931152,4.62509155273,4.60067749023,4.61402893066,0.0,0.0,0.0
-0.995,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.58793640137,4.61196899414,4.58641052246,4.60159301758,0.0,0.0,0.0
-0.9945,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.57382202148,4.59968566895,4.57328796387,4.58831787109,0.0,0.0,0.0
-0.994,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.56100463867,4.58633422852,4.56069946289,4.57443237305,0.0,0.0,0.0
-0.9935,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.54956054688,4.57290649414,4.54872131348,4.56184387207,0.0,0.0,0.0
-0.993,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.53681945801,4.56031799316,4.53582763672,4.54933166504,0.0,0.0,0.0
-0.9925,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.52346801758,4.54879760742,4.52247619629,4.53758239746,0.0,0.0,0.0
-0.992,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.51080322266,4.53628540039,4.51042175293,4.5246887207,0.0,0.0,0.0
-0.9915,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.49867248535,4.52285766602,4.49890136719,4.51156616211,0.0,0.0,0.0
-0.991,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.48768615723,4.51019287109,4.4864654541,4.49989318848,0.0,0.0,0.0
-0.9905,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.4750213623,4.49859619141,4.47372436523,4.48822021484,0.0,0.0,0.0
-0.99,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.46174621582,4.48692321777,4.4612121582,4.47601318359,0.0,0.0,0.0
-0.9895,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.44969177246,4.47463989258,4.44931030273,4.46296691895,0.0,0.0,0.0
-0.989,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.4384765625,4.46159362793,4.43840026855,4.45091247559,0.0,0.0,0.0
-0.9885,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.44496154785,4.47235107422,4.45335388184,4.47334289551,0.0,0.0,0.0
-0.988,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.55368041992,4.58869934082,4.5711517334,4.59587097168,0.0,0.0,0.0
-0.9875,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.64942932129,4.6768951416,4.65126037598,4.66537475586,0.0,0.0,0.0
-0.987,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.64149475098,4.6654510498,4.64073181152,4.65354919434,0.0,0.0,0.0
-0.9865,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.62669372559,4.65049743652,4.62509155273,4.63928222656,0.0,0.0,0.0
-0.986,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.61212158203,4.63722229004,4.61051940918,4.6257019043,0.0,0.0,0.0
-0.9855,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,-0.1013,4.59762573242,4.62371826172,4.59747314453,4.6118927002,0.0,0.0,0.0
