startest,,鱼雷,手动触发,,2015-06-03,--&-0.09&--&--&--&--,--&--&--&--,--,--,6.1,6.1,--&--,--
0,1,1,1,1,1,1,0,0,0,0,0,0,1
True,False,True,False,False,False,False,False,False,False,False,False,False,False
0.0,-0.1013,-0.122462033081,-0.1013,-0.1013,-0.1013,-0.1013,4.43130493164,4.45610046387,4.43420410156,4.44808959961,0.0,0.0,0
0.0005,-0.1013,-0.113878964233,-0.1013,-0.1013,-0.1013,-0.1013,4.49913024902,4.53216552734,4.51713562012,4.54139709473,0.0,0.0,0.0
0.001,-0.1013,-0.118647335815,-0.1013,-0.1013,-0.1013,-0.1013,4.63752746582,4.67086791992,4.65026855469,4.67079162598,0.0,0.0,0.0
0.0015,-0.1013,-0.115786312866,-0.1013,-0.1013,-0.1013,-0.1013,4.66102600098,4.68421936035,4.65850830078,4.67063903809,0.0,0.0,0.0
0.002,-0.1013,-0.106249569702,-0.1013,-0.1013,-0.1013,-0.1013,4.64256286621,4.66651916504,4.64073181152,4.65560913086,0.0,0.0,0.0
0.0025,-0.1013,-0.116501568604,-0.1013,-0.1013,-0.1013,-0.1013,4.62539672852,4.65148925781,4.62493896484,4.63905334473,0.0,0.0,0.0
0.003,-0.1013,-0.116263150024,-0.1013,-0.1013,-0.1013,-0.1013,4.61166381836,4.63508605957,4.61059570312,4.62379455566,0.0,0.0,0.0
0.0035,-0.1013,-0.118408917236,-0.1013,-0.1013,-0.1013,-0.1013,4.59671020508,4.62097167969,4.59495544434,4.60998535156,0.0,0.0,0.0
0.004,-0.1013,-0.117932080078,-0.1013,-0.1013,-0.1013,-0.1013,4.58114624023,4.60678100586,4.58068847656,4.59434509277,0.0,0.0,0.0
0.0045,-0.1013,-0.115309475708,-0.1013,-0.1013,-0.1013,-0.1013,4.56832885742,4.59121704102,4.56726074219,4.58030700684,0.0,0.0,0.0
0.005,-0.1013,-0.115071057129,-0.1013,-0.1013,-0.1013,-0.1013,4.55322265625,4.57817077637,4.55200195312,4.5671081543,0.0,0.0,0.0
0.0055,-0.1013,-0.113640545654,-0.1013,-0.1013,-0.1013,-0.1013,4.53872680664,4.56405639648,4.53857421875,4.55207824707,0.0,0.0,0.0
0.006,-0.1013,-0.112448452759,-0.1013,-0.1013,-0.1013,-0.1013,4.52659606934,4.5491027832,4.52514648438,4.53811645508,0.0,0.0,0.0
0.0065,-0.1013,-0.115071057129,-0.1013,-0.1013,-0.1013,-0.1013,4.51103210449,4.53659057617,4.51026916504,4.52529907227,0.0,0.0,0.0
0.007,-0.1013,-0.115309475708,-0.1013,-0.1013,-0.1013,-0.1013,4.49760437012,4.52224731445,4.49783325195,4.51057434082,0.0,0.0,0.0
0.0075,-0.1013,-0.120316265869,-0.1013,-0.1013,-0.1013,-0.1013,4.48532104492,4.50782775879,4.48402404785,4.49745178223,0.0,0.0,0.0
0.008,-0.1013,-0.11483263855,-0.1013,-0.1013,-0.1013,-0.1013,4.4702911377,4.49562072754,4.46968078613,4.48425292969,0.0,0.0,0.0
0.0085,-0.1013,-0.120554684448,-0.1013,-0.1013,-0.1013,-0.1013,4.45701599121,4.48112487793,4.45739746094,4.46983337402,0.0,0.0,0.0
0.009,-0.1013,-0.120316265869,-0.1013,-0.1013,-0.1013,-0.1013,4.44465637207,4.46754455566,4.44351196289,4.45732116699,0.0,0.0,0.0
0.0095,-0.1013,-0.116978405762,-0.1013,-0.1013,-0.1013,-0.1013,4.43016052246,4.45533752441,4.43054199219,4.44564819336,0.0,0.0,0.0
0.01,-0.1013,-0.116263150024,-0.1013,-0.1013,-0.1013,-0.1013,4.45388793945,4.48348999023,4.46678161621,4.48707580566,0.0,0.0,0.0
0.0105,-0.1013,-0.101719616699,-0.1013,-0.1013,-0.1013,-0.1013,4.58671569824,4.6208190918,4.60456848145,4.62890625,0.0,0.0,0.0
0.011,-0.1013,-0.116263150024,-0.1013,-0.1013,-0.1013,-0.1013,4.66171264648,4.68765258789,4.6614074707,4.67674255371,0.0,0.0,0.0
0.0115,-0.1013,-0.114355801392,-0.1013,-0.1013,-0.1013,-0.1013,4.64965820312,4.67269897461,4.64805603027,4.66117858887,0.0,0.0,0.0
0.012,-0.1013,-0.114117382813,-0.1013,-0.1013,-0.1013,-0.1013,4.63287353516,4.65766906738,4.63088989258,4.64645385742,0.0,0.0,0.0
0.0125,-0.1013,-0.120793103027,-0.1013,-0.1013,-0.1013,-0.1013,4.61639404297,4.64210510254,4.61601257324,4.62982177734,0.0,0.0,0.0
0.013,-0.1013,-0.112686871338,-0.1013,-0.1013,-0.1013,-0.1013,4.60311889648,4.62608337402,4.60189819336,4.61517333984,0.0,0.0,0.0
0.0135,-0.1013,-0.117216824341,-0.1013,-0.1013,-0.1013,-0.1013,4.58755493164,4.61265563965,4.58618164062,4.60136413574,0.0,0.0,0.0
0.014,-0.1013,-0.116263150024,-0.1013,-0.1013,-0.1013,-0.1013,4.57290649414,4.5979309082,4.5726776123,4.5858001709,0.0,0.0,0.0
0.0145,-0.1013,-0.116739987183,-0.1013,-0.1013,-0.1013,-0.1013,4.55986022949,4.58305358887,4.55841064453,4.57229614258,0.0,0.0,0.0
0.015,-0.1013,-0.119601010132,-0.1013,-0.1013,-0.1013,-0.1013,4.54437255859,4.57000732422,4.5435333252,4.55848693848,0.0,0.0,0.0
0.0155,-0.1013,-0.115071057129,-0.1013,-0.1013,-0.1013,-0.1013,4.53063964844,4.55505371094,4.53102111816,4.54368591309,0.0,0.0,0.0
0.016,-0.1013,-0.115786312866,-0.1013,-0.1013,-0.1013,-0.1013,4.51812744141,4.54116821289,4.51667785645,4.53079223633,0.0,0.0,0.0
0.0165,-0.1013,-0.11221003418,-0.1013,-0.1013,-0.1013,-0.1013,4.5027923584,4.52842712402,4.50225830078,4.51690673828,0.0,0.0,0.0
0.017,-0.1013,-0.116739987183,-0.1013,-0.1013,-0.1013,-0.1013,4.4896697998,4.51362609863,4.4896697998,4.50241088867,0.0,0.0,0.0
0.0175,-0.1013,-0.116739987183,-0.1013,-0.1013,-0.1013,-0.1013,4.47700500488,4.49974060059,4.47563171387,4.48989868164,0.0,0.0,0.0
