startest,,鱼雷,手动触发,,2015-06-12,--&--&--&--&-0.14&--,--&--&--&--,--,--,8.8,8.8,--&--,0
0,1,1,1,1,4,1,0,0,0,0,0,0,1
True,False,False,False,False,True,False,False,False,False,False,False,False,False
0.0,-0.1013,-0.1013,-0.1013,-0.1013,-0.104131459045,-0.1013,4.47578430176,4.49859619141,4.4734954834,4.48852539062,0.0,0.0,0
0.0005,-0.1013,-0.1013,-0.1013,-0.1013,-0.103082417297,-0.1013,4.46228027344,4.48486328125,4.4605255127,4.47456359863,0.0,0.0,0.0
0.001,-0.1013,-0.1013,-0.1013,-0.1013,-0.102772473145,-0.1013,4.44885253906,4.47113037109,4.44702148438,4.4605255127,0.0,0.0,0.0
0.0015,-0.1013,-0.1013,-0.1013,-0.1013,-0.102510212708,-0.1013,4.43519592285,4.45770263672,4.43405151367,4.44702148438,0.0,0.0,0.0
0.002,-0.1013,-0.1013,-0.1013,-0.1013,-0.102462528992,-0.1013,4.4319152832,4.45770263672,4.43664550781,4.45320129395,0.0,0.0,0.0
0.0025,-0.1013,-0.1013,-0.1013,-0.1013,-0.102700947571,-0.1013,4.5344543457,4.5703125,4.55596923828,4.57977294922,0.0,0.0,0.0
0.003,-0.1013,-0.1013,-0.1013,-0.1013,-0.103058575439,-0.1013,4.66789245605,4.69856262207,4.67620849609,4.6923828125,0.0,0.0,0.0
0.0035,-0.1013,-0.1013,-0.1013,-0.1013,-0.103034733582,-0.1013,4.66659545898,4.69268798828,4.66583251953,4.68048095703,0.0,0.0,0.0
0.004,-0.1013,-0.1013,-0.1013,-0.1013,-0.102891682434,-0.1013,4.65065002441,4.67674255371,4.64950561523,4.66438293457,0.0,0.0,0.0
0.0045,-0.1013,-0.1013,-0.1013,-0.1013,-0.102629421997,-0.1013,4.63508605957,4.66079711914,4.63363647461,4.64897155762,0.0,0.0,0.0
0.005,-0.1013,-0.1013,-0.1013,-0.1013,-0.102724789429,-0.1013,4.62066650391,4.64515686035,4.61845397949,4.63401794434,0.0,0.0,0.0
0.0055,-0.1013,-0.1013,-0.1013,-0.1013,-0.103678463745,-0.1013,4.60594177246,4.62951660156,4.60388183594,4.61921691895,0.0,0.0,0.0
0.006,-0.1013,-0.1013,-0.1013,-0.1013,-0.102796315002,-0.1013,4.5915222168,4.61502075195,4.58953857422,4.60441589355,0.0,0.0,0.0
0.0065,-0.1013,-0.1013,-0.1013,-0.1013,-0.102772473145,-0.1013,4.57725524902,4.60029602051,4.57557678223,4.58946228027,0.0,0.0,0.0
0.007,-0.1013,-0.1013,-0.1013,-0.1013,-0.101723431396,-0.1013,4.5629119873,4.58587646484,4.56169128418,4.57504272461,0.0,0.0,0.0
0.0075,-0.1013,-0.1013,-0.1013,-0.1013,-0.103416203308,-0.1013,4.54765319824,4.57214355469,4.54772949219,4.56069946289,0.0,0.0,0.0
0.008,-0.1013,-0.1013,-0.1013,-0.1013,-0.102748631287,-0.1013,4.5336151123,4.55841064453,4.53369140625,4.54650878906,0.0,0.0,0.0
0.0085,-0.1013,-0.1013,-0.1013,-0.1013,-0.103583096313,-0.1013,4.51934814453,4.54483032227,4.51919555664,4.53269958496,0.0,0.0,0.0
0.009,-0.1013,-0.1013,-0.1013,-0.1013,-0.10191416626,-0.1013,4.50553894043,4.53117370605,4.5051574707,4.51904296875,0.0,0.0,0.0
0.0095,-0.1013,-0.1013,-0.1013,-0.1013,-0.102653263855,-0.1013,4.4921875,4.51751708984,4.4913482666,4.50584411621,0.0,0.0,0.0
